run_id,round,stage,agent,suspect,suspicion_score,confidence_score,primary_reason,evidence_categories,strongest_supporting_fact,top_suspect,overall_uncertainty
thesis-pilot-passive-concealment-20260530T154051Z-r002,2,initial_framing,Harold Chun,Bobby Herrerra,7,6,No reason provided.,means|opportunity|behavior,No specific fact cited.,Margaret Chun,5
thesis-pilot-passive-concealment-20260530T154051Z-r002,2,initial_framing,Harold Chun,Pauline Thompson,2,2,No reason provided.,opportunity|timeline,No specific fact cited.,Margaret Chun,5
thesis-pilot-passive-concealment-20260530T154051Z-r002,2,initial_framing,Harold Chun,Louis Cagliostro,3,2,No reason provided.,motive|timeline,No specific fact cited.,Margaret Chun,5
thesis-pilot-passive-concealment-20260530T154051Z-r002,2,initial_framing,Harold Chun,Tim Kane,2,2,No reason provided.,timeline|means,No specific fact cited.,Margaret Chun,5
thesis-pilot-passive-concealment-20260530T154051Z-r002,2,initial_framing,Harold Chun,Margaret Chun,8,7,No reason provided.,means|opportunity|motive|behavior,No specific fact cited.,Margaret Chun,5
thesis-pilot-passive-concealment-20260530T154051Z-r002,2,initial_framing,Harold Chun,Fiona McAllister,1,1,No reason provided.,opportunity|timeline,No specific fact cited.,Margaret Chun,5
thesis-pilot-passive-concealment-20260530T154051Z-r002,2,initial_framing,Bobby Herrerra,Bobby Herrerra,8,7,No reason provided.,opportunity|means|timeline,No specific fact cited.,Bobby Herrerra,6
thesis-pilot-passive-concealment-20260530T154051Z-r002,2,initial_framing,Bobby Herrerra,Margaret Chun,4,4,No reason provided.,timeline|behavior,No specific fact cited.,Bobby Herrerra,6
thesis-pilot-passive-concealment-20260530T154051Z-r002,2,initial_framing,Bobby Herrerra,Pauline Thompson,3,3,No reason provided.,timeline|behavior,No specific fact cited.,Bobby Herrerra,6
thesis-pilot-passive-concealment-20260530T154051Z-r002,2,initial_framing,Bobby Herrerra,Louis Cagliostro,2,2,No reason provided.,,No specific fact cited.,Bobby Herrerra,6
thesis-pilot-passive-concealment-20260530T154051Z-r002,2,initial_framing,Bobby Herrerra,Tim Kane,1,1,No reason provided.,,No specific fact cited.,Bobby Herrerra,6
thesis-pilot-passive-concealment-20260530T154051Z-r002,2,initial_framing,Bobby Herrerra,Fiona McAllister,1,1,No reason provided.,,No specific fact cited.,Bobby Herrerra,6
