turn,round,phase,speaker,target,response_to_speaker,is_direct_target,is_question,is_followup_question,is_justification_request,is_pressure_signal,is_mention,text
4,1,introduction,Tim Kane,Harold Chun,,False,False,False,False,False,True,"Um, hi everyone, I'm Tim Kane, a PhD student working under Professor Chun—just trying to keep my head above water."
5,1,introduction,Margaret Chun,Harold Chun,,False,False,False,False,False,True,"I'm Margaret Chun, Harold's wife and the director of the Art Institute's community outreach—always juggling a hundred things while keeping my own storms from spilling over."
7,2,discussion,Pauline Thompson,Fiona McAllister,,True,True,True,False,False,True,"Fiona, did you leave the apartment before 9:15?"
8,2,discussion,Fiona McAllister,Pauline Thompson,Pauline Thompson,True,True,True,False,False,True,"Yes, I left at about 9:00. Pauline, did you see who left the apartment with you?"
9,2,discussion,Pauline Thompson,Margaret Chun,Fiona McAllister,False,False,False,False,False,True,"Yes, I saw Margaret leave with me. I know Rick was murdered in the apartment's bathroom."
10,2,discussion,Bobby Herrerra,Margaret Chun,,True,True,False,False,False,True,"Margaret, did you leave the apartment with Pauline around 9:15?"
10,2,discussion,Bobby Herrerra,Pauline Thompson,,False,True,False,False,False,True,"Margaret, did you leave the apartment with Pauline around 9:15?"
11,2,discussion,Margaret Chun,Tim Kane,Bobby Herrerra,True,True,False,False,False,True,"Yes, I left with Pauline around 9:15. Tim, where were you after 9:15?"
11,2,discussion,Margaret Chun,Pauline Thompson,Bobby Herrerra,False,True,False,False,False,True,"Yes, I left with Pauline around 9:15. Tim, where were you after 9:15?"
12,2,discussion,Tim Kane,Bobby Herrerra,Margaret Chun,False,False,False,False,False,True,"I was still at the party. I stayed with Bobby and Fiona until about 10 o’clock, then headed home."
12,2,discussion,Tim Kane,Fiona McAllister,Margaret Chun,False,False,False,False,False,True,"I was still at the party. I stayed with Bobby and Fiona until about 10 o’clock, then headed home."
13,2,discussion,Louis Cagliostro,Tim Kane,,True,True,True,False,False,True,"Tim, did you leave the party after 9:00 to go to Rick's?"
14,2,discussion,Tim Kane,Bobby Herrerra,Louis Cagliostro,False,False,False,False,False,True,"No, I stayed at the party. I was with Bobby and Fiona until about ten o’clock."
14,2,discussion,Tim Kane,Fiona McAllister,Louis Cagliostro,False,False,False,False,False,True,"No, I stayed at the party. I was with Bobby and Fiona until about ten o’clock."
15,2,discussion,Pauline Thompson,Harold Chun,,True,True,False,False,False,True,"Harold, did you see anyone else in the apartment's bathroom after you left?"
16,2,discussion,Harold Chun,Margaret Chun,Pauline Thompson,True,True,False,False,False,True,"No, I didn't see anyone else. Margaret, did you lock the bathroom door before you left?"
17,2,discussion,Margaret Chun,Tim Kane,Harold Chun,True,True,True,False,False,True,"Yes, I did lock the bathroom door before I left. Tim, were you in the apartment’s bathroom after 9:15?"
18,2,discussion,Tim Kane,Bobby Herrerra,Margaret Chun,False,False,False,False,False,True,"No, I wasn’t in the bathroom after 9:15. I was still at the party with Bobby and Fiona."
18,2,discussion,Tim Kane,Fiona McAllister,Margaret Chun,False,False,False,False,False,True,"No, I wasn’t in the bathroom after 9:15. I was still at the party with Bobby and Fiona."
19,2,discussion,Pauline Thompson,Bobby Herrerra,,True,True,False,False,False,True,"Bobby, where were you after 9:15?"
21,2,discussion,Harold Chun,Bobby Herrerra,,True,True,True,False,False,True,"Bobby, do you have a key to the apartment?"
22,2,discussion,Bobby Herrerra,Tim Kane,Harold Chun,True,True,False,False,False,True,"Yes, I do. When I got there the front door was already open, so someone else had already been in. Tim, did you see anyone else in the bathroom after 9:15?"
23,2,discussion,Tim Kane,Bobby Herrerra,Bobby Herrerra,False,False,False,False,False,True,"No, I didn't see anyone else in the bathroom after 9:15. I was still at the party with Bobby and Fiona until around 10."
23,2,discussion,Tim Kane,Fiona McAllister,Bobby Herrerra,False,False,False,False,False,True,"No, I didn't see anyone else in the bathroom after 9:15. I was still at the party with Bobby and Fiona until around 10."
24,2,discussion,Louis Cagliostro,Bobby Herrerra,,True,True,True,False,False,True,"Bobby, did you leave the apartment with Rick at 9:15?"
26,2,discussion,Margaret Chun,Bobby Herrerra,,True,True,True,False,False,True,"Bobby, after you walked into the apartment at about 10, did you see anyone else there?"
28,3,discussion,Harold Chun,Margaret Chun,,True,True,True,False,False,True,"Margaret, you said you locked the bathroom before you left—if you killed him, wouldn't you have had to lock it after?"
30,3,discussion,Pauline Thompson,Bobby Herrerra,,True,True,True,False,False,True,"Bobby, when you entered at 10, did you see anyone else in the apartment, and if so, who?"
31,3,discussion,Bobby Herrerra,Pauline Thompson,Pauline Thompson,True,True,True,False,False,True,"I didn’t see anyone else inside when I walked in. The front door was already open and the hallway was empty. Pauline, did you leave the apartment alone after 9:15 or was someone with you?"
32,3,discussion,Pauline Thompson,Margaret Chun,Bobby Herrerra,True,True,True,False,False,True,"I left alone. Margaret, did you have a key to the apartment?"
34,3,discussion,Bobby Herrerra,Harold Chun,,True,True,False,False,False,True,"Harold, were you in the bathroom after 9:15?"
35,3,discussion,Harold Chun,Margaret Chun,Bobby Herrerra,True,True,True,False,False,True,"No, I wasn’t in the bathroom after 9:15. Margaret, did you see Rick in the bathroom before you left?"
36,3,discussion,Margaret Chun,Pauline Thompson,Harold Chun,False,False,False,False,False,True,I didn’t see him in the bathroom. I left with Pauline around the same time.
37,3,discussion,Fiona McAllister,Pauline Thompson,,True,False,False,False,False,True,"Pauline, you said you left with Margaret at 9:15, but I didn't see that happen."
37,3,discussion,Fiona McAllister,Margaret Chun,,False,False,False,False,False,True,"Pauline, you said you left with Margaret at 9:15, but I didn't see that happen."
38,3,discussion,Pauline Thompson,Margaret Chun,Fiona McAllister,True,True,True,False,False,True,"I left alone. Margaret was still at the party until about 10. Margaret, were you at the party at 9:15?"
40,3,discussion,Louis Cagliostro,Harold Chun,,True,True,False,False,False,True,"Harold, where were you after 9:15?"
41,3,discussion,Harold Chun,Pauline Thompson,Louis Cagliostro,True,True,True,False,False,True,"I was in my office at the university, working late until about 2 p.m. Pauline, did you see anyone else in the apartment between 9:15 and 10?"
42,3,discussion,Pauline Thompson,Margaret Chun,Harold Chun,True,True,True,False,False,True,"I didn't see anyone else in the apartment between 9:15 and 10. Margaret, who opened the front door after you left?"
44,3,discussion,Bobby Herrerra,Fiona McAllister,,True,True,False,False,False,True,"Fiona, were you alone with Rick in the bathroom after 9:15?"
45,3,discussion,Fiona McAllister,Bobby Herrerra,Bobby Herrerra,True,False,False,False,False,True,"Bobby, no, I wasn’t alone with Rick in the bathroom after 9:15 – I left the apartment at 9:00. Pauline, you said you left with Margaret at 9:15, but I didn’t see that happen."
45,3,discussion,Fiona McAllister,Pauline Thompson,Bobby Herrerra,False,False,False,False,False,True,"Bobby, no, I wasn’t alone with Rick in the bathroom after 9:15 – I left the apartment at 9:00. Pauline, you said you left with Margaret at 9:15, but I didn’t see that happen."
45,3,discussion,Fiona McAllister,Margaret Chun,Bobby Herrerra,False,False,False,False,False,True,"Bobby, no, I wasn’t alone with Rick in the bathroom after 9:15 – I left the apartment at 9:00. Pauline, you said you left with Margaret at 9:15, but I didn’t see that happen."
46,3,discussion,Bobby Herrerra,Pauline Thompson,Fiona McAllister,True,False,False,False,False,True,"Yeah, I left at 9:00, not with Rick. Pauline, you said you left with Margaret at 9:15, but I didn't see that happen."
46,3,discussion,Bobby Herrerra,Margaret Chun,Fiona McAllister,False,False,False,False,False,True,"Yeah, I left at 9:00, not with Rick. Pauline, you said you left with Margaret at 9:15, but I didn't see that happen."
