turn,round,phase,speaker,target,response_to_speaker,is_direct_target,is_question,is_followup_question,is_justification_request,is_pressure_signal,is_mention,text
1,1,introduction,Bobby Herrerra,Fiona McAllister,,False,False,False,False,False,True,"I'm Bobby Herrerra, a software engineer downtown, and I'm still trying to keep my head up after Fiona ran off with Rick again."
7,2,discussion,Bobby Herrerra,Pauline Thompson,,True,False,False,False,False,True,"Pauline, you said you were with Rick when he was found, yet the body was discovered alone in the bathroom."
8,2,discussion,Pauline Thompson,Bobby Herrerra,Bobby Herrerra,True,True,True,False,False,True,"I was with him when the body was found; I saw Rick step into the bathroom, and when I returned, he was already gone. I didn't see anyone else there. Bobby, did you see anyone else in the apartment at that time?"
9,2,discussion,Bobby Herrerra,Fiona McAllister,Pauline Thompson,False,False,False,False,False,True,"No, I didn't see anyone else. I was standing in the hallway near the stairwell, just outside the bathroom when I heard the door close. I didn't see them. I did notice Fiona leave the building right after Rick."
10,2,discussion,Tim Kane,Harold Chun,,False,False,False,False,False,True,"I was still at the party, right there near the bar, chatting with Professor Chun and Margaret about my thesis. I didn’t leave until about 9:10, and I didn’t see anyone else going into the bathroom. I was in the front hall area, not near the stairwell."
10,2,discussion,Tim Kane,Margaret Chun,,False,False,False,False,False,True,"I was still at the party, right there near the bar, chatting with Professor Chun and Margaret about my thesis. I didn’t leave until about 9:10, and I didn’t see anyone else going into the bathroom. I was in the front hall area, not near the stairwell."
11,2,discussion,Harold Chun,Pauline Thompson,,True,True,True,False,False,True,"Pauline, were you alone when Rick was found?"
12,2,discussion,Pauline Thompson,Harold Chun,Harold Chun,True,True,True,False,False,True,"No, I was with him; I saw him step into the bathroom, then I came back and found him dead. Harold, did you see anyone else in the apartment after you left?"
13,2,discussion,Harold Chun,Tim Kane,Pauline Thompson,True,True,True,False,False,True,"No, I left the apartment around 9:07 and didn’t see anyone else. Tim, did you see anyone else enter after that?"
14,2,discussion,Tim Kane,Margaret Chun,Harold Chun,False,False,False,False,False,True,"I was still at the party until about 9:10, chatting with Prof. Chun and Margaret near the bar, and I didn’t see anyone else enter the apartment after that."
15,2,discussion,Fiona McAllister,Tim Kane,,True,True,True,False,False,True,"Tim, did you see anyone else in or out of the bathroom when Rick was found?"
16,2,discussion,Tim Kane,Harold Chun,Fiona McAllister,False,False,False,False,False,True,"No, I was still at the party, chatting with Professor Chun and Margaret. I didn’t see anyone enter or exit the bathroom."
16,2,discussion,Tim Kane,Margaret Chun,Fiona McAllister,False,False,False,False,False,True,"No, I was still at the party, chatting with Professor Chun and Margaret. I didn’t see anyone enter or exit the bathroom."
17,2,discussion,Bobby Herrerra,Fiona McAllister,,True,True,True,False,False,True,"Fiona, you said you left right after Rick – what time exactly did you step out of the apartment?"
18,2,discussion,Fiona McAllister,Pauline Thompson,Bobby Herrerra,True,True,False,False,False,True,"I left at 9:02, and Pauline, did anyone else enter the bathroom after you left?"
20,2,discussion,Harold Chun,Fiona McAllister,,True,True,True,False,False,True,"Fiona, did you see anyone enter the bathroom after you left at 9:02?"
22,2,discussion,Tim Kane,Harold Chun,,False,False,False,False,False,True,"No, I was still at the party, chatting with Professor Chun and Margaret near the bar. I didn’t see anyone enter or exit the bathroom."
22,2,discussion,Tim Kane,Margaret Chun,,False,False,False,False,False,True,"No, I was still at the party, chatting with Professor Chun and Margaret near the bar. I didn’t see anyone enter or exit the bathroom."
23,2,discussion,Bobby Herrerra,Margaret Chun,,True,True,False,False,False,True,"Margaret, were you in the apartment at the time Rick was found?"
24,2,discussion,Margaret Chun,Tim Kane,Bobby Herrerra,True,True,True,False,False,True,"No, I wasn’t in the apartment when Rick was found—I was still at the party, later trying to get back to the kitchen. Tim, did you see anyone else near the stairwell when you left the bar?"
25,2,discussion,Tim Kane,Margaret Chun,Margaret Chun,True,False,False,False,False,True,"No, I didn’t see anyone near the stairwell when I left the bar. I was just chatting near the bar with Professor Chun and Margaret, and the hallway was a bit crowded, but I didn’t notice anyone else."
25,2,discussion,Tim Kane,Harold Chun,Margaret Chun,False,False,False,False,False,True,"No, I didn’t see anyone near the stairwell when I left the bar. I was just chatting near the bar with Professor Chun and Margaret, and the hallway was a bit crowded, but I didn’t notice anyone else."
26,2,discussion,Margaret Chun,Pauline Thompson,Tim Kane,True,True,False,False,False,True,"I was at the bar, chatting with Harold and Margaret, and I didn’t see anyone near the stairwell. Pauline, at what exact time did you leave the apartment after Rick was found?"
26,2,discussion,Margaret Chun,Harold Chun,Tim Kane,False,True,False,False,False,True,"I was at the bar, chatting with Harold and Margaret, and I didn’t see anyone near the stairwell. Pauline, at what exact time did you leave the apartment after Rick was found?"
27,3,discussion,Pauline Thompson,Bobby Herrerra,Margaret Chun,True,True,False,False,False,True,"Bobby, what time did you leave the apartment after Rick was found?"
28,3,discussion,Bobby Herrerra,Margaret Chun,Pauline Thompson,True,True,True,False,False,True,"I left at about 9:04, right after the body was found. Margaret, were you in the apartment at that time?"
30,3,discussion,Harold Chun,Tim Kane,,True,True,False,False,False,True,"Tim, what time did you leave the party?"
31,3,discussion,Tim Kane,Harold Chun,Harold Chun,False,False,False,False,False,True,"I left the party around nine‑ten, right after I'd finished chatting with Professor Chun and Margaret at the bar."
31,3,discussion,Tim Kane,Margaret Chun,Harold Chun,False,False,False,False,False,True,"I left the party around nine‑ten, right after I'd finished chatting with Professor Chun and Margaret at the bar."
32,3,discussion,Fiona McAllister,Bobby Herrerra,,True,True,False,False,False,True,"Bobby, did you have a key to Rick's apartment?"
33,3,discussion,Bobby Herrerra,Pauline Thompson,Fiona McAllister,True,True,False,False,False,True,"Yes, I had a key. Pauline, what time did you leave the apartment after the body was found?"
35,3,discussion,Margaret Chun,Pauline Thompson,,True,True,True,False,False,True,"Pauline, at what time did you first notice Rick in the bathroom?"
36,3,discussion,Pauline Thompson,Harold Chun,Margaret Chun,True,True,False,False,False,True,"I first saw Rick in the bathroom at 9:02, just before I left at 9:03. Harold, you said you were still at the party until 9:10—did you see the bathroom door close after you left?"
37,3,discussion,Harold Chun,Bobby Herrerra,Pauline Thompson,True,True,False,False,False,True,"No, I didn't see the door close after I left, but Bobby, did you see the bathroom door close after you entered?"
39,3,discussion,Louis Cagliostro,Bobby Herrerra,,True,True,True,False,False,True,"Bobby, did you see Rick's body when you left the apartment at 9:04?"
40,3,discussion,Bobby Herrerra,Pauline Thompson,Louis Cagliostro,True,True,False,False,False,True,"No, I didn't see the body. Pauline, do you have a key to Rick's apartment?"
42,3,discussion,Margaret Chun,Pauline Thompson,,True,True,True,False,False,True,"Pauline, at what exact time did you see Rick’s body in the bathroom?"
43,3,discussion,Pauline Thompson,Bobby Herrerra,Margaret Chun,True,True,True,False,False,True,"I saw the body at 9:02. Bobby, did you notice the bathroom door close after you left?"
44,3,discussion,Bobby Herrerra,Pauline Thompson,Pauline Thompson,False,True,False,False,False,True,"Yeah, I saw the bathroom door slam shut as I walked in, Pauline. Did you have a key when you left the apartment at 9:03?"
45,3,discussion,Pauline Thompson,Bobby Herrerra,Bobby Herrerra,True,True,True,False,False,True,"Yes, I had a key. Bobby, did you see the bathroom door close after you left the apartment at 9:04?"
46,3,discussion,Bobby Herrerra,Fiona McAllister,Pauline Thompson,True,True,False,False,False,True,"No, I didn’t see the door close after I left. Fiona, did you see anyone enter the apartment after you left?"
48,4,discussion,Harold Chun,Bobby Herrerra,,True,True,True,False,False,True,"Bobby, did you hand the key back to Rick before you left the apartment?"
50,4,discussion,Louis Cagliostro,Bobby Herrerra,,True,True,True,False,False,True,"Bobby, did you use your key to enter the apartment after 9:00?"
51,4,discussion,Bobby Herrerra,Pauline Thompson,Louis Cagliostro,True,True,False,False,False,True,"Yes, I used the key to get back in at 9:04, right after the body was found. I didn’t see who did it. Pauline, did anyone else enter the apartment after you left?"
53,4,discussion,Margaret Chun,Bobby Herrerra,,True,True,True,False,False,True,"Bobby, did you take Rick’s marble paperweight from his office before you left the apartment at 9:04?"
54,4,discussion,Bobby Herrerra,Pauline Thompson,Margaret Chun,True,True,True,False,False,True,"I didn’t take it. Pauline, did you have the key when you left?"
56,4,discussion,Harold Chun,Bobby Herrerra,,True,True,True,False,False,True,"Bobby, did you take Rick’s marble paperweight from his office when you re-entered at 9:04?"
58,4,discussion,Louis Cagliostro,Bobby Herrerra,,True,True,True,False,False,True,"Bobby, if you didn't take the marble paperweight, how did the murder weapon come from Rick's office?"
60,4,discussion,Fiona McAllister,Tim Kane,,True,True,False,False,False,True,"Tim, did you ever go into Rick’s office before 9:00?"
62,4,discussion,Margaret Chun,Bobby Herrerra,,True,True,True,False,False,True,"Bobby, did you take Rick’s marble paperweight from his office before you left the apartment at 9:04?"
63,4,discussion,Bobby Herrerra,Tim Kane,Margaret Chun,True,True,True,False,False,True,"No, I didn't take it. Tim, did you use your key to get into Rick's office after 9:00?"
64,4,discussion,Tim Kane,Bobby Herrerra,Bobby Herrerra,True,True,True,False,False,True,"No, I didn’t use my key after 9:00. I was still at the party, just chatting with Prof. Chun. By the way, Bobby, did you notice the stairwell after you left the party?"
65,4,discussion,Bobby Herrerra,Fiona McAllister,Tim Kane,True,True,False,False,False,True,"I did notice the stairwell after I left the party – it was empty, no one crossing. Fiona, did you see anyone in the stairwell after you left the party?"
66,4,discussion,Fiona McAllister,Tim Kane,Bobby Herrerra,True,True,True,False,False,True,"No, I didn’t see anyone in the stairwell after I left the party. Tim, did you take the marble paperweight from Rick’s office before you left the apartment?"
68,5,discussion,Harold Chun,Louis Cagliostro,,True,True,False,False,False,True,"Louis, did you have a key to the apartment?"
70,5,discussion,Pauline Thompson,Bobby Herrerra,,True,True,False,False,False,True,"Bobby, you re-entered the apartment at 9:04 after the body was found—what was your reason for coming back in?"
71,5,discussion,Bobby Herrerra,Louis Cagliostro,Pauline Thompson,True,True,True,False,False,True,"I just went back to grab my keys and make sure nobody was still in there. Louis, did you go into Rick’s office after 9:04?"
72,5,discussion,Louis Cagliostro,Bobby Herrerra,Bobby Herrerra,True,True,True,False,False,True,"No, I didn't go into the office after 9:04. Bobby, did you see the note near the body?"
73,5,discussion,Bobby Herrerra,Harold Chun,Louis Cagliostro,True,True,False,False,False,True,"No, I didn’t see the note. Harold, did you use your key to get into Rick’s office after 9:00?"
74,5,discussion,Harold Chun,Tim Kane,Bobby Herrerra,True,True,False,False,False,True,"Yes, I did. Tim, did you see anyone else enter the apartment after 9:07?"
77,5,discussion,Fiona McAllister,Tim Kane,,True,True,True,False,False,True,"Tim, did you notice that the marble paperweight was missing from Rick’s desk after you left the office?"
78,5,discussion,Tim Kane,Margaret Chun,Fiona McAllister,True,False,False,False,False,True,"No, I didn't notice it. I was just chatting with Prof. Chun and Margaret when that happened."
80,5,discussion,Bobby Herrerra,Harold Chun,,True,True,False,False,False,True,"Harold, did you take Rick’s marble paperweight from his office after you used your key?"
82,5,discussion,Louis Cagliostro,Harold Chun,,True,True,True,False,False,True,"Harold, did you see the “Pay up or die!” note near the body?"
83,5,discussion,Harold Chun,Pauline Thompson,Louis Cagliostro,True,True,False,False,False,True,"I didn’t see the note. Pauline, did you take the marble paperweight from Rick’s office?"
84,5,discussion,Pauline Thompson,Bobby Herrerra,Harold Chun,True,True,False,False,False,True,"No. Bobby, did you see the note near the body?"
85,5,discussion,Bobby Herrerra,Margaret Chun,Pauline Thompson,True,True,False,False,False,True,"No, I didn't see it. Margaret, did you notice the marble paperweight missing from Rick’s desk after the party?"
