turn,round,phase,stage,selected_speaker,selection_reason,is_direct_address
1,1,introduction,introduction,Harold Chun,Introduction (7 remaining),False
2,1,introduction,introduction,Bobby Herrerra,Introduction (6 remaining),False
3,1,introduction,introduction,Pauline Thompson,Introduction (5 remaining),False
4,1,introduction,introduction,Louis Cagliostro,Introduction (4 remaining),False
5,1,introduction,introduction,Tim Kane,Introduction (3 remaining),False
6,1,introduction,introduction,Margaret Chun,Introduction (2 remaining),False
7,1,introduction,introduction,Fiona McAllister,Introduction (1 remaining),False
8,2,discussion,initial_framing,Bobby Herrerra,"Bobby Herrerra has the strongest self-selection bid (3/9, reason=question)",False
9,2,discussion,initial_framing,Pauline Thompson,Pauline Thompson was directly addressed by Bobby Herrerra,True
10,2,discussion,initial_framing,Bobby Herrerra,Bobby Herrerra was directly addressed by Pauline Thompson,True
11,2,discussion,initial_framing,Tim Kane,"Tim Kane has the strongest self-selection bid (3/9, reason=alibi)",False
12,2,discussion,initial_framing,Harold Chun,"Tie-breaker: Both Pauline and Harold have equal urgency bids. Pauline has already spoken and revealed a private clue, whereas Harold has not yet spoken and can ask a targeted question that may clarify the key missing detail about who was in the bathroom. Prioritizing a silent player who can raise a new line of inquiry best advances the investigation.",False
13,2,discussion,initial_framing,Pauline Thompson,Pauline Thompson was directly addressed by Harold Chun,True
14,2,discussion,initial_framing,Harold Chun,Harold Chun was directly addressed by Pauline Thompson,True
15,2,discussion,initial_framing,Tim Kane,Tim Kane was directly addressed by Harold Chun,True
16,2,discussion,initial_framing,Fiona McAllister,"Tie-breaker: Both Fiona and Bobby have not yet spoken and neither has revealed private knowledge. Fiona’s proposed question about who was in the bathroom when Rick was discovered is a critical detail that can directly confirm or contradict existing witness statements (notably Pauline’s claim of being alone). This line of inquiry is likely to yield the most concrete, actionable information for the investigation. Bobby’s question about Fiona’s departure timing, while useful, is less immediately tied to the core murder scene. Therefore, Fiona is the better choice to advance the investigation.",False
17,2,discussion,initial_framing,Tim Kane,Tim Kane was directly addressed by Fiona McAllister,True
18,2,discussion,initial_framing,Bobby Herrerra,"Bobby Herrerra has the strongest self-selection bid (3/9, reason=question)",False
19,2,discussion,initial_framing,Fiona McAllister,Fiona McAllister was directly addressed by Bobby Herrerra,True
20,2,discussion,initial_framing,Pauline Thompson,Pauline Thompson was directly addressed by Fiona McAllister,True
21,2,discussion,initial_framing,Harold Chun,"Harold Chun has the strongest self-selection bid (4/9, reason=contradiction)",False
22,2,discussion,initial_framing,Fiona McAllister,Fiona McAllister was directly addressed by Harold Chun,True
23,2,discussion,initial_framing,Tim Kane,"Tie-breaker: Tim Kane has not yet spoken and has not shared any private knowledge in the conversation so far. Pauline has already provided an alibi. Since both players are tied in urgency, we prioritize the player who has remained silent to advance new information. Tim’s upcoming statement can confirm his alibi and potentially expose inconsistencies in others’ accounts. Therefore, Tim should speak next.",False
