run_id,round,stage,agent,suspect,suspicion_score,confidence_score,primary_reason,evidence_categories,strongest_supporting_fact,top_suspect,overall_uncertainty
thesis-pilot-passive-concealment-20260530T171350Z-r004,2,initial_framing,Bobby Herrerra,Harold Chun,2,7,No reason provided.,alibi|timeline|behavior,No specific fact cited.,Pauline Thompson,6
thesis-pilot-passive-concealment-20260530T171350Z-r004,2,initial_framing,Bobby Herrerra,Pauline Thompson,6,5,No reason provided.,opportunity|contradiction|behavior,No specific fact cited.,Pauline Thompson,6
thesis-pilot-passive-concealment-20260530T171350Z-r004,2,initial_framing,Bobby Herrerra,Louis Cagliostro,3,3,No reason provided.,unknown|behavior,No specific fact cited.,Pauline Thompson,6
thesis-pilot-passive-concealment-20260530T171350Z-r004,2,initial_framing,Bobby Herrerra,Tim Kane,2,6,No reason provided.,alibi|timeline|behavior,No specific fact cited.,Pauline Thompson,6
thesis-pilot-passive-concealment-20260530T171350Z-r004,2,initial_framing,Bobby Herrerra,Margaret Chun,2,7,No reason provided.,alibi|timeline|behavior,No specific fact cited.,Pauline Thompson,6
thesis-pilot-passive-concealment-20260530T171350Z-r004,2,initial_framing,Bobby Herrerra,Fiona McAllister,5,4,No reason provided.,opportunity|behavior,No specific fact cited.,Pauline Thompson,6
thesis-pilot-passive-concealment-20260530T171350Z-r004,2,initial_framing,Harold Chun,Bobby Herrerra,4,4,"Bobby is the only suspect who directly accuses Pauline, yet his own alibi (standing near the stairwell) is unchallenged and he provides no motive or means.",behavior|accusatory dialogue|opportunity,"Bobby is the only suspect who directly accuses Pauline, yet his own alibi (standing near the stairwell) is unchallenged and he provides no motive or means.",Tim Kane,6
thesis-pilot-passive-concealment-20260530T171350Z-r004,2,initial_framing,Harold Chun,Pauline Thompson,7,6,Pauline was present when Rick was found dead and claims no one else was present. Her statements are consistent but her proximity to the victim raises suspicion.,behavior|timing|opportunity,Pauline was present when Rick was found dead and claims no one else was present. Her statements are consistent but her proximity to the victim raises suspicion.,Tim Kane,6
thesis-pilot-passive-concealment-20260530T171350Z-r004,2,initial_framing,Harold Chun,Louis Cagliostro,5,3,No information has been revealed about Louis; his score reflects the absence of evidence both for and against him.,unknown,No information has been revealed about Louis; his score reflects the absence of evidence both for and against him.,Tim Kane,6
thesis-pilot-passive-concealment-20260530T171350Z-r004,2,initial_framing,Harold Chun,Tim Kane,8,7,"Tim claims to have been at the party until 9:10, yet the body was discovered at 9:07. His assertion that he saw no one near the stairwell conflicts with the possibility of a stealth entry/exit.",contradiction|timeline|opportunity,"Tim claims to have been at the party until 9:10, yet the body was discovered at 9:07. His assertion that he saw no one near the stairwell conflicts with the possibility of a stealth entry/exit.",Tim Kane,6
thesis-pilot-passive-concealment-20260530T171350Z-r004,2,initial_framing,Harold Chun,Margaret Chun,2,3,Margaret consistently states she was at the bar and not in the apartment when the body was discovered.,alibi|behavior,Margaret consistently states she was at the bar and not in the apartment when the body was discovered.,Tim Kane,6
thesis-pilot-passive-concealment-20260530T171350Z-r004,2,initial_framing,Harold Chun,Fiona McAllister,3,5,"Fiona left the apartment at 9:02 and reports no one entered the bathroom after her exit, which aligns with the timeline of the discovery.",alibi|timeline,"Fiona left the apartment at 9:02 and reports no one entered the bathroom after her exit, which aligns with the timeline of the discovery.",Tim Kane,6
