turn,round,phase,stage,selected_speaker,selection_reason,is_direct_address
1,1,introduction,introduction,Harold Chun,Introduction (7 remaining),False
2,1,introduction,introduction,Bobby Herrerra,Introduction (6 remaining),False
3,1,introduction,introduction,Pauline Thompson,Introduction (5 remaining),False
4,1,introduction,introduction,Louis Cagliostro,Introduction (4 remaining),False
5,1,introduction,introduction,Tim Kane,Introduction (3 remaining),False
6,1,introduction,introduction,Margaret Chun,Introduction (2 remaining),False
7,1,introduction,introduction,Fiona McAllister,Introduction (1 remaining),False
8,2,discussion,initial_framing,Harold Chun,"Harold Chun has the strongest self-selection bid (3/9, reason=question)",False
9,2,discussion,initial_framing,Tim Kane,Tim Kane was directly addressed by Harold Chun,True
10,2,discussion,initial_framing,Pauline Thompson,"Pauline Thompson has the strongest self-selection bid (3/9, reason=question)",False
11,2,discussion,initial_framing,Bobby Herrerra,Bobby Herrerra was directly addressed by Pauline Thompson,True
12,2,discussion,initial_framing,Louis Cagliostro,"Tie-breaker: Both Harold and Louis have equal urgency scores. However, Louis Cagliostro has not yet spoken in the conversation, while Harold has already asked a question. According to the tie‑breaking rule that prefers players who have been silent, Louis should speak next to advance the investigation.",False
13,2,discussion,initial_framing,Tim Kane,Tim Kane was directly addressed by Louis Cagliostro,True
14,2,discussion,initial_framing,Margaret Chun,"Tie-breaker: Both Harold Chun and Margaret Chun have not yet spoken and have equal urgency scores. Margaret’s bid is higher (8/9 vs 7/9), and her planned question directly addresses the key timeline of the bathroom, the murder scene, and could reveal a contradiction in Tim’s alibi. This is the most investigative move available, so Margaret Chun is selected.",False
15,2,discussion,initial_framing,Pauline Thompson,Pauline Thompson was directly addressed by Margaret Chun,True
16,2,discussion,initial_framing,Tim Kane,Tim Kane was directly addressed by Pauline Thompson,True
17,2,discussion,initial_framing,Harold Chun,"Harold Chun has the strongest self-selection bid (4/9, reason=question)",False
18,2,discussion,initial_framing,Bobby Herrerra,Bobby Herrerra was directly addressed by Harold Chun,True
19,2,discussion,initial_framing,Fiona McAllister,"Fiona McAllister has the strongest self-selection bid (2/9, reason=question)",False
20,2,discussion,initial_framing,Bobby Herrerra,Bobby Herrerra was directly addressed by Fiona McAllister,True
21,2,discussion,initial_framing,Tim Kane,Tim Kane was directly addressed by Bobby Herrerra,True
22,2,discussion,initial_framing,Harold Chun,"Harold Chun has the strongest self-selection bid (3/9, reason=question)",False
23,2,discussion,initial_framing,Bobby Herrerra,Bobby Herrerra was directly addressed by Harold Chun,True
24,2,discussion,initial_framing,Pauline Thompson,"Pauline Thompson has the strongest self-selection bid (4/9, reason=direct_response)",False
25,2,discussion,initial_framing,Margaret Chun,Margaret Chun was directly addressed by Pauline Thompson,True
26,2,discussion,initial_framing,Tim Kane,Tim Kane was directly addressed by Margaret Chun,True
