turn,round,phase,stage,selected_speaker,selection_reason,is_direct_address
1,1,introduction,introduction,Harold Chun,Introduction (7 remaining),False
2,1,introduction,introduction,Bobby Herrerra,Introduction (6 remaining),False
3,1,introduction,introduction,Pauline Thompson,Introduction (5 remaining),False
4,1,introduction,introduction,Louis Cagliostro,Introduction (4 remaining),False
5,1,introduction,introduction,Tim Kane,Introduction (3 remaining),False
6,1,introduction,introduction,Margaret Chun,Introduction (2 remaining),False
7,1,introduction,introduction,Fiona McAllister,Introduction (1 remaining),False
8,2,discussion,initial_framing,Harold Chun,"Harold Chun has the strongest self-selection bid (7/9, reason=question)",False
9,2,discussion,initial_framing,Margaret Chun,Margaret Chun was directly addressed by Harold Chun,True
10,2,discussion,initial_framing,Pauline Thompson,"Tie-breaker: Pauline's focus on the scene details, particularly Rick's position and the blood smear, puts her in a position to uncover inconsistencies or confirm observations that could be crucial. Asking her targeted questions can help clarify her perspective and potentially reveal new information or contradictions. Fiona, while also important, seems to be considering broader behavioral cues rather than specific scene details at this moment. Therefore, engaging Pauline now might directly advance the understanding of the crime scene.",True
11,2,discussion,initial_framing,Margaret Chun,Margaret Chun was directly addressed by Pauline Thompson,True
12,2,discussion,initial_framing,Fiona McAllister,Fiona McAllister was directly addressed by Margaret Chun,True
13,2,discussion,initial_framing,Margaret Chun,Margaret Chun was directly addressed by Fiona McAllister,True
14,2,discussion,initial_framing,Harold Chun,"Harold Chun has the strongest self-selection bid (7/9, reason=question)",False
15,2,discussion,initial_framing,Fiona McAllister,Fiona McAllister was directly addressed by Harold Chun,True
16,2,discussion,initial_framing,Margaret Chun,Margaret Chun was directly addressed by Fiona McAllister,True
17,2,discussion,initial_framing,Bobby Herrerra,"Tie-breaker: Bobby Herrera's focus on Margaret’s potential narrative control and her detailed comments about Rick's behavior suggest he is seeking to uncover inconsistencies or hidden information. Probing Margaret further could reveal contradictions or overlooked details that advance the investigation more effectively than Pauline's approach, especially since Margaret has been central to the recent discussion and may hold key insights.",True
18,2,discussion,initial_framing,Margaret Chun,Margaret Chun was directly addressed by Bobby Herrerra,True
19,2,discussion,initial_framing,Bobby Herrerra,"Tie-breaker: Among the tied players, Bobby Herrerra's focus on Margaret's observations and her potential role in controlling the narrative makes him the best candidate to push the investigation forward. His question about her actions and the timeline could reveal inconsistencies or new details that others haven't considered. By clarifying Margaret's perspective, the investigation can gain valuable insight into her potential involvement or innocence.",True
20,2,discussion,initial_framing,Margaret Chun,Margaret Chun was directly addressed by Bobby Herrerra,True
21,2,discussion,initial_framing,Pauline Thompson,Pauline Thompson was directly addressed by Margaret Chun,True
22,2,discussion,initial_framing,Margaret Chun,Margaret Chun was directly addressed by Pauline Thompson,True
23,2,discussion,initial_framing,Harold Chun,"Tie-breaker: Harold's focus is on clarifying Margaret’s timeline and her awareness of Rick's state, which is crucial to uncover inconsistencies or overlooked details. His questioning can help determine whether Margaret's account aligns with others and if she had the opportunity to observe or intervene, potentially revealing her involvement or innocence.",False
24,2,discussion,initial_framing,Margaret Chun,Margaret Chun was directly addressed by Harold Chun,True
