turn,round,phase,stage,selected_speaker,selection_reason,is_direct_address
1,1,introduction,introduction,Harold Chun,Introduction (7 remaining),False
2,1,introduction,introduction,Bobby Herrerra,Introduction (6 remaining),False
3,1,introduction,introduction,Pauline Thompson,Introduction (5 remaining),False
4,1,introduction,introduction,Louis Cagliostro,Introduction (4 remaining),False
5,1,introduction,introduction,Tim Kane,Introduction (3 remaining),False
6,1,introduction,introduction,Margaret Chun,Introduction (2 remaining),False
7,1,introduction,introduction,Fiona McAllister,Introduction (1 remaining),False
8,2,discussion,initial_framing,Pauline Thompson,"Tie-breaker: All tied players have not spoken yet, so we break the tie by selecting the participant whose next statement would most advance the investigation. Pauline Thompson’s bid (6/9) is to ask a key question about who used the bathroom after the party, a crucial detail that no one has yet addressed. This question will elicit new factual information and guide the group toward narrowing suspects. Therefore Pauline is the best choice.",False
9,2,discussion,initial_framing,Harold Chun,Harold Chun was directly addressed by Pauline Thompson,True
10,2,discussion,initial_framing,Tim Kane,Tim Kane was directly addressed by Harold Chun,True
11,2,discussion,initial_framing,Pauline Thompson,"Tie-breaker: Both Pauline and Bobby have not spoken yet and their bids are equal. Pauline’s next move—asking Bobby about the bathroom after Rick left—directly targets the key location of the murder and can reveal Bobby’s presence or knowledge there, which is crucial to narrowing suspects. Bobby could also contribute, but Pauline’s question addresses the most pressing unknown. Therefore Pauline should speak next.",False
12,2,discussion,initial_framing,Bobby Herrerra,Bobby Herrerra was directly addressed by Pauline Thompson,True
13,2,discussion,initial_framing,Tim Kane,Tim Kane was directly addressed by Bobby Herrerra,True
14,2,discussion,initial_framing,Margaret Chun,"Tie-breaker: All tied players have not spoken yet, but Margaret Chun has private knowledge of her own timeline and can ask a crucial question about who used the bathroom after 8:15, a key time point for the murder that has not yet been addressed. This question can provide the most direct new evidence and narrow the suspect list, making her the best choice to advance the investigation.",False
15,2,discussion,initial_framing,Tim Kane,Tim Kane was directly addressed by Margaret Chun,True
16,2,discussion,initial_framing,Fiona McAllister,"Fiona McAllister has the strongest self-selection bid (3/9, reason=question)",False
17,2,discussion,initial_framing,Bobby Herrerra,Bobby Herrerra was directly addressed by Fiona McAllister,True
18,2,discussion,initial_framing,Pauline Thompson,Pauline Thompson was directly addressed by Bobby Herrerra,True
19,2,discussion,initial_framing,Tim Kane,Tim Kane was directly addressed by Pauline Thompson,True
20,2,discussion,initial_framing,Louis Cagliostro,"Louis Cagliostro has the strongest self-selection bid (2/9, reason=question)",False
21,2,discussion,initial_framing,Bobby Herrerra,Bobby Herrerra was directly addressed by Louis Cagliostro,True
22,2,discussion,initial_framing,Margaret Chun,Margaret Chun was directly addressed by Bobby Herrerra,True
23,2,discussion,initial_framing,Pauline Thompson,Pauline Thompson was directly addressed by Margaret Chun,True
24,2,discussion,initial_framing,Harold Chun,"Harold Chun has the strongest self-selection bid (3/9, reason=question)",False
25,2,discussion,initial_framing,Louis Cagliostro,Louis Cagliostro was directly addressed by Harold Chun,True
26,2,discussion,initial_framing,Pauline Thompson,Pauline Thompson was directly addressed by Louis Cagliostro,True
