turn,round,phase,speaker,target,response_to_speaker,is_direct_target,is_question,is_followup_question,is_justification_request,is_pressure_signal,is_mention,text
4,1,introduction,Tim Kane,Harold Chun,,True,False,False,False,False,True,"Hi, I'm Tim Kane—just a PhD student working under Professor Chun, trying to keep my head above water. I’m still getting used to the pace here, so please bear with me."
7,2,discussion,Pauline Thompson,Harold Chun,,True,True,False,False,False,True,"Harold, did you see Rick in the bathroom after he left the apartment?"
8,2,discussion,Harold Chun,Tim Kane,Pauline Thompson,True,True,False,False,False,True,"No, I didn't see him. I was at the refreshments when he left. Tim, did you see him after he left the apartment?"
10,2,discussion,Pauline Thompson,Bobby Herrerra,,True,True,False,False,False,True,"Bobby, did you see anyone in the bathroom after Rick left?"
11,2,discussion,Bobby Herrerra,Tim Kane,Pauline Thompson,True,True,True,False,False,True,"No, I didn't see anyone after Rick left. I was in the lounge. Tim, were you still at the party when he disappeared?"
13,2,discussion,Margaret Chun,Tim Kane,,True,True,True,False,False,True,"Tim, did you go to the bathroom after you left the party, or did you go before?"
15,2,discussion,Fiona McAllister,Bobby Herrerra,,True,True,False,False,False,True,"Bobby, where were you between 7:30 and 9:00?"
16,2,discussion,Bobby Herrerra,Pauline Thompson,Fiona McAllister,True,True,False,False,False,True,"I was at the party with Louis until about 8:45, then I headed to the bar for a drink. Pauline, did you see anyone in the bathroom after Rick left?"
16,2,discussion,Bobby Herrerra,Louis Cagliostro,Fiona McAllister,False,True,False,False,False,True,"I was at the party with Louis until about 8:45, then I headed to the bar for a drink. Pauline, did you see anyone in the bathroom after Rick left?"
17,2,discussion,Pauline Thompson,Tim Kane,Bobby Herrerra,True,True,True,False,False,True,"No, I didn't see anyone in the bathroom after Rick left. I was in the lounge until about 9:00. Tim, did you see anyone in the bathroom after Rick left?"
19,2,discussion,Louis Cagliostro,Bobby Herrerra,,True,True,True,False,False,True,"Bobby, after you left the party, did you see Rick's body?"
20,2,discussion,Bobby Herrerra,Margaret Chun,Louis Cagliostro,True,True,False,False,False,True,"No, I didn’t see it. Margaret, did you have the bathroom key after Rick left?"
21,2,discussion,Margaret Chun,Pauline Thompson,Bobby Herrerra,True,True,False,False,False,True,"I didn’t have the key. I was in the party until about 8:15, then left. Pauline, did you go to the bathroom after Rick left?"
23,2,discussion,Harold Chun,Louis Cagliostro,,True,True,False,False,False,True,"Louis, did you see anyone else in the apartment after 9:07?"
24,2,discussion,Louis Cagliostro,Pauline Thompson,Harold Chun,True,True,True,False,False,True,"No, I didn't see anyone else after 9:07. Pauline, did you actually see Rick's body in the bathroom?"
26,2,discussion,Bobby Herrerra,Margaret Chun,,True,True,False,False,False,True,"Margaret, you said you didn’t have the key, but did you see anyone else with the bathroom key after 8:15?"
27,3,discussion,Margaret Chun,Harold Chun,Bobby Herrerra,False,False,False,False,False,True,"No, I didn’t see anyone else with the key after 8:15. I only saw Harold leave the party, and he didn’t seem to have it."
28,3,discussion,Harold Chun,Margaret Chun,,True,True,True,False,False,True,"Margaret, where were you between 8:15 and the time you left the apartment?"
29,3,discussion,Margaret Chun,Harold Chun,Harold Chun,True,True,True,False,False,True,"I was at the party until about 8:15, then I left the apartment. Harold, did you go to the bathroom after leaving the party?"
30,3,discussion,Harold Chun,Bobby Herrerra,Margaret Chun,True,True,False,False,False,True,"No, I didn't go to the bathroom after leaving the party. Bobby, did you see anyone in the bathroom after Rick left?"
