turn,round,phase,stage,selected_speaker,selection_reason,is_direct_address
1,1,introduction,introduction,Harold Chun,Introduction (7 remaining),False
2,1,introduction,introduction,Bobby Herrerra,Introduction (6 remaining),False
3,1,introduction,introduction,Pauline Thompson,Introduction (5 remaining),False
4,1,introduction,introduction,Louis Cagliostro,Introduction (4 remaining),False
5,1,introduction,introduction,Tim Kane,Introduction (3 remaining),False
6,1,introduction,introduction,Margaret Chun,Introduction (2 remaining),False
7,1,introduction,introduction,Fiona McAllister,Introduction (1 remaining),False
8,2,discussion,initial_framing,Harold Chun,"Harold Chun has the strongest self-selection bid (8/9, reason=question)",False
9,2,discussion,initial_framing,Margaret Chun,Margaret Chun was directly addressed by Harold Chun,True
10,2,discussion,initial_framing,Pauline Thompson,Pauline Thompson was directly addressed by Margaret Chun,True
11,2,discussion,initial_framing,Margaret Chun,Margaret Chun was directly addressed by Pauline Thompson,True
12,2,discussion,initial_framing,Pauline Thompson,Pauline Thompson was directly addressed by Margaret Chun,True
13,2,discussion,initial_framing,Harold Chun,"Harold Chun has the strongest self-selection bid (7/9, reason=question)",False
14,2,discussion,initial_framing,Fiona McAllister,"Tie-breaker: Fiona McAllister's focus on Rick's last moments and the suspicious items in his wallet aligns her with uncovering potential motives and details that could progress the investigation. Her perspective could reveal critical inconsistencies or clues about Rick's behavior and the possible involvement of others, especially given her mention of checks to Louis Cagliostro. This makes her the best candidate to ask a targeted question that could open new avenues in the investigation.",False
15,2,discussion,initial_framing,Louis Cagliostro,Louis Cagliostro was directly addressed by Fiona McAllister,True
16,2,discussion,initial_framing,Bobby Herrerra,"Bobby Herrerra has the strongest self-selection bid (8/9, reason=question)",False
17,2,discussion,initial_framing,Margaret Chun,Margaret Chun was directly addressed by Bobby Herrerra,True
18,2,discussion,initial_framing,Bobby Herrerra,Fallback selection based on urgency,False
19,2,discussion,initial_framing,Margaret Chun,Margaret Chun was directly addressed by Bobby Herrerra,True
20,2,discussion,initial_framing,Fiona McAllister,"Fiona McAllister has the strongest self-selection bid (7/9, reason=question)",False
21,2,discussion,initial_framing,Margaret Chun,Margaret Chun was directly addressed by Fiona McAllister,True
22,2,discussion,initial_framing,Harold Chun,"Harold Chun has the strongest self-selection bid (8/9, reason=question)",False
23,2,discussion,initial_framing,Louis Cagliostro,Louis Cagliostro was directly addressed by Harold Chun,True
24,2,discussion,initial_framing,Harold Chun,Harold Chun was directly addressed by Louis Cagliostro,True
25,2,discussion,initial_framing,Margaret Chun,Margaret Chun was directly addressed by Harold Chun,True
26,2,discussion,initial_framing,Bobby Herrerra,"Bobby Herrerra has the strongest self-selection bid (8/9, reason=question)",False
27,2,discussion,initial_framing,Margaret Chun,Margaret Chun was directly addressed by Bobby Herrerra,True
28,3,discussion,clue_integration,Bobby Herrerra,Bobby Herrerra was directly addressed by Margaret Chun,True
29,3,discussion,clue_integration,Pauline Thompson,"Pauline Thompson has the strongest self-selection bid (8/9, reason=question)",False
30,3,discussion,clue_integration,Margaret Chun,Margaret Chun was directly addressed by Pauline Thompson,True
