turn,round,phase,speaker,target,response_to_speaker,is_direct_target,is_question,is_followup_question,is_justification_request,is_pressure_signal,is_mention,text
1,1,introduction,Bobby Herrerra,Harold Chun,,True,False,False,False,False,True,"Hey, Harold, I'm Bobby Herrerra. I just finished up at the software firm downtown and heard you and Rick were at the party—looks like there's more going on than just a networking event."
4,1,introduction,Tim Kane,Harold Chun,,False,False,False,False,False,True,"Hi, I'm Tim Kane, a PhD student in finance working on option‑pricing models under Professor Chun. I'm just trying to get through the night and keep my head down after a long, hectic week."
7,2,discussion,Louis Cagliostro,Tim Kane,,True,True,True,False,False,True,"Tim, where were you between 9:00 and 9:30 while we were all at Rick's?"
9,2,discussion,Pauline Thompson,Tim Kane,,True,True,True,False,False,True,"Tim Kane, where were you between 9:20 and 9:30?"
13,2,discussion,Harold Chun,Tim Kane,,True,True,True,False,False,True,"Tim, after you left the party, did you go to the bathroom before 9:30?"
15,2,discussion,Louis Cagliostro,Bobby Herrerra,,True,True,False,False,False,True,"Bobby, did you go to the bathroom after 9:30?"
16,2,discussion,Bobby Herrerra,Tim Kane,Louis Cagliostro,True,True,True,False,False,True,"No, I didn’t. Tim, did you go to the bathroom after 9:30?"
18,2,discussion,Pauline Thompson,Bobby Herrerra,,True,True,True,False,False,True,"Bobby, where were you between 8:45 and 9:00?"
19,2,discussion,Bobby Herrerra,Tim Kane,Pauline Thompson,True,True,True,False,False,True,"I was at the bar with a friend from work, had a few beers, then headed to the party around 7:30. I stuck around until about 8:45, then I left the bar and made my way straight to the party. Tim, did you go into the bathroom after 9:30?"
21,2,discussion,Harold Chun,Louis Cagliostro,,True,True,False,False,False,True,"Louis, after you got here, did you go to the bathroom?"
22,2,discussion,Louis Cagliostro,Bobby Herrerra,Harold Chun,True,True,True,False,False,True,"No, I didn't. Bobby, did you go to the bathroom after 9:30?"
23,2,discussion,Bobby Herrerra,Harold Chun,Louis Cagliostro,True,True,True,False,False,True,"No, I didn’t. Harold, did you go to the bathroom after 9:30?"
24,2,discussion,Harold Chun,Bobby Herrerra,Bobby Herrerra,True,True,True,False,False,True,"No, I didn’t. Bobby, did you go to the bathroom after 9:07?"
25,2,discussion,Bobby Herrerra,Pauline Thompson,Harold Chun,True,True,False,False,False,True,"No, I didn't. Pauline, did you go to the bathroom after 9:30?"
26,2,discussion,Pauline Thompson,Harold Chun,Bobby Herrerra,True,True,True,False,False,True,"No, I didn't go to the bathroom after 9:30. Harold, did you leave the party area by 9:00?"
27,3,discussion,Harold Chun,Bobby Herrerra,Pauline Thompson,True,True,True,False,False,True,"I did leave the party area by 9:02, right after the last of the guests left. Bobby, after you arrived at Rick’s at 9:07, did you go to the bathroom?"
29,3,discussion,Louis Cagliostro,Tim Kane,,True,True,False,False,False,True,"Tim, you said you were in the kitchen at 9:15, but you didn’t say you left the kitchen after 9:20. Did you go to the bathroom after 9:20?"
31,3,discussion,Harold Chun,Bobby Herrerra,,True,True,True,False,False,True,"Bobby, where were you after you arrived at 9:07?"
