run_id,round,stage,agent,suspect,suspicion_score,confidence_score,primary_reason,evidence_categories,strongest_supporting_fact,top_suspect,overall_uncertainty
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Margaret Chun,Harold Chun,3,4,No reason provided.,behavior|opportunity,No specific fact cited.,Pauline Thompson,8
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Margaret Chun,Bobby Herrerra,2,3,No reason provided.,behavior,No specific fact cited.,Pauline Thompson,8
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Margaret Chun,Pauline Thompson,6,5,No reason provided.,motive|behavior|opportunity,No specific fact cited.,Pauline Thompson,8
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Margaret Chun,Louis Cagliostro,3,4,No reason provided.,behavior,No specific fact cited.,Pauline Thompson,8
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Margaret Chun,Tim Kane,4,4,No reason provided.,opportunity|timeline|behavior,No specific fact cited.,Pauline Thompson,8
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Margaret Chun,Fiona McAllister,2,3,No reason provided.,behavior,No specific fact cited.,Pauline Thompson,8
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Harold Chun,Bobby Herrerra,9,8,No reason provided.,opportunity|timeline_missing|alibi|behavior,No specific fact cited.,Bobby Herrerra,6
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Harold Chun,Tim Kane,7,6,No reason provided.,contradiction|opportunity|means|behavior,No specific fact cited.,Bobby Herrerra,6
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Harold Chun,Louis Cagliostro,3,5,No reason provided.,alibi|behavior,No specific fact cited.,Bobby Herrerra,6
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Harold Chun,Pauline Thompson,4,4,No reason provided.,motive|behavior,No specific fact cited.,Bobby Herrerra,6
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Harold Chun,Margaret Chun,2,5,No reason provided.,alibi|behavior,No specific fact cited.,Bobby Herrerra,6
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Harold Chun,Fiona McAllister,1,3,No reason provided.,behavior,No specific fact cited.,Bobby Herrerra,6
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Bobby Herrerra,Harold Chun,3,4,No reason provided.,alibi|behavior,No specific fact cited.,Pauline Thompson,7
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Bobby Herrerra,Pauline Thompson,8,6,No reason provided.,motive|behavior,No specific fact cited.,Pauline Thompson,7
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Bobby Herrerra,Louis Cagliostro,3,4,No reason provided.,alibi|behavior,No specific fact cited.,Pauline Thompson,7
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Bobby Herrerra,Tim Kane,4,5,No reason provided.,alibi|behavior,No specific fact cited.,Pauline Thompson,7
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Bobby Herrerra,Margaret Chun,1,3,No reason provided.,alibi|behavior,No specific fact cited.,Pauline Thompson,7
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Bobby Herrerra,Fiona McAllister,1,2,No reason provided.,alibi|behavior,No specific fact cited.,Pauline Thompson,7
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Tim Kane,Harold Chun,5,3,No reason provided.,opportunity|alibi|behavior,No specific fact cited.,Pauline Thompson,5
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Tim Kane,Bobby Herrerra,6,4,No reason provided.,opportunity|alibi|behavior,No specific fact cited.,Pauline Thompson,5
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Tim Kane,Pauline Thompson,8,6,No reason provided.,motive|opportunity|alibi|behavior,No specific fact cited.,Pauline Thompson,5
thesis-pilot-passive-concealment-20260530T145918Z-r001,2,initial_framing,Tim Kane,Louis Cagliostro,7,5,No reason provided.,opportunity|alibi|behavior,No specific fact cited.,Pauline Thompson,5
