turn,round,phase,stage,selected_speaker,selection_reason,is_direct_address
1,1,introduction,introduction,Harold Chun,Introduction (7 remaining),False
2,1,introduction,introduction,Bobby Herrerra,Introduction (6 remaining),False
3,1,introduction,introduction,Pauline Thompson,Introduction (5 remaining),False
4,1,introduction,introduction,Louis Cagliostro,Introduction (4 remaining),False
5,1,introduction,introduction,Tim Kane,Introduction (3 remaining),False
6,1,introduction,introduction,Margaret Chun,Introduction (2 remaining),False
7,1,introduction,introduction,Fiona McAllister,Introduction (1 remaining),False
8,2,discussion,initial_framing,Louis Cagliostro,"Tie-breaker: Louis Cagliostro has not yet shared any private knowledge and proposes a question that could immediately narrow down suspects by identifying bathroom usage after the party. His inquiry directly advances the investigation, making him the most useful next speaker among those tied.",False
9,2,discussion,initial_framing,Tim Kane,Tim Kane was directly addressed by Louis Cagliostro,True
10,2,discussion,initial_framing,Pauline Thompson,"Pauline Thompson has the strongest self-selection bid (3/9, reason=question)",False
11,2,discussion,initial_framing,Tim Kane,Tim Kane was directly addressed by Pauline Thompson,True
12,2,discussion,initial_framing,Margaret Chun,"Margaret Chun has the strongest self-selection bid (2/9, reason=clue)",False
13,2,discussion,initial_framing,Tim Kane,"Tim Kane has the strongest self-selection bid (3/9, reason=direct_response)",False
14,2,discussion,initial_framing,Harold Chun,"Harold Chun has the strongest self-selection bid (3/9, reason=question)",False
15,2,discussion,initial_framing,Tim Kane,Tim Kane was directly addressed by Harold Chun,True
16,2,discussion,initial_framing,Louis Cagliostro,"Tie-breaker: Louis Cagliostro’s proposed question about bathroom access after 9:30 directly targets the most critical missing fact—the timing of body discovery in the bathroom. No one has yet asked who used the bathroom during that window, and this inquiry could immediately identify a suspect or eliminate several. Pauline Thompson’s focus on Bobby Herrerra’s whereabouts is also important, but it addresses a narrower alibi gap. Given the urgency to link the victim’s body to a suspect, Louis’s question advances the investigation more effectively.",False
17,2,discussion,initial_framing,Bobby Herrerra,Bobby Herrerra was directly addressed by Louis Cagliostro,True
18,2,discussion,initial_framing,Tim Kane,Tim Kane was directly addressed by Bobby Herrerra,True
19,2,discussion,initial_framing,Pauline Thompson,"Pauline Thompson has the strongest self-selection bid (4/9, reason=question)",False
20,2,discussion,initial_framing,Bobby Herrerra,Bobby Herrerra was directly addressed by Pauline Thompson,True
21,2,discussion,initial_framing,Tim Kane,Tim Kane was directly addressed by Bobby Herrerra,True
22,2,discussion,initial_framing,Harold Chun,"Harold Chun has the strongest self-selection bid (4/9, reason=question)",False
23,2,discussion,initial_framing,Louis Cagliostro,Louis Cagliostro was directly addressed by Harold Chun,True
24,2,discussion,initial_framing,Bobby Herrerra,Bobby Herrerra was directly addressed by Louis Cagliostro,True
25,2,discussion,initial_framing,Harold Chun,Harold Chun was directly addressed by Bobby Herrerra,True
26,2,discussion,initial_framing,Bobby Herrerra,Bobby Herrerra was directly addressed by Harold Chun,True
27,2,discussion,initial_framing,Pauline Thompson,Pauline Thompson was directly addressed by Bobby Herrerra,True
28,3,discussion,clue_integration,Harold Chun,Harold Chun was directly addressed by Pauline Thompson,True
29,3,discussion,clue_integration,Bobby Herrerra,Bobby Herrerra was directly addressed by Harold Chun,True
